"gameNumber","dimension","nThreads","initTime","resolutionTime"
28,20,2,0.045114,0.007814
29,20,2,0.039578,0.005126
30,30,2,1.817654,0.125524
31,30,2,1.866124,0.232367
32,30,2,0.862399,0.079446
33,30,2,1.649014,0.138922
34,30,2,1.124117,0.107208
35,30,2,1.317950,0.113703
36,30,2,1.108720,0.101679
37,30,2,1.494343,0.147274
38,30,2,1.218162,0.108342
39,30,2,2.211391,0.184333
40,40,2,100.872383,6.744657
41,40,2,27.249878,2.933240
42,40,2,57.795836,4.242085
43,40,2,52.021810,4.318171
44,40,2,24.653661,2.246704
45,40,2,52.713315,4.929304
46,40,2,37.481538,3.104541
47,40,2,30.476942,2.965068
48,40,2,52.160055,4.235898
49,40,2,100.126381,6.845329
0,5,2,0.644151,0.003350
1,5,2,0.000195,0.000161
2,5,2,0.000243,0.000174
3,5,2,0.000143,0.000106
4,5,2,0.000134,0.000161
5,5,2,0.000140,0.000140
6,5,2,0.000123,0.000139
7,5,2,0.000139,0.000122
8,5,2,0.000130,0.000097
9,5,2,0.000167,0.000123
10,10,2,0.671706,0.000628
11,10,2,0.000907,0.000332
12,10,2,0.000643,0.000292
13,10,2,0.002660,0.000366
14,10,2,0.000635,0.000343
15,10,2,0.000803,0.000395
16,10,2,0.000596,0.000308
17,10,2,0.000620,0.000437
18,10,2,0.000691,0.000310
19,10,2,0.000506,0.000210
20,20,2,0.022577,0.003203
21,20,2,0.031980,0.005782
22,20,2,0.013302,0.002416
23,20,2,0.046572,0.005919
24,20,2,0.033477,0.004339
25,20,2,0.022470,0.003816
26,20,2,0.023572,0.004337
27,20,2,0.029962,0.004319
28,20,2,0.041448,0.007711
29,20,2,0.040026,0.004519
30,30,2,1.832924,0.135537
31,30,2,1.875390,0.241169
32,30,2,0.866813,0.073101
33,30,2,1.656413,0.137487
34,30,2,1.132221,0.108154
35,30,2,1.319918,0.112775
36,30,2,1.114262,0.101132
37,30,2,1.494102,0.149996
38,30,2,1.226178,0.121258
39,30,2,2.218317,0.182563
40,40,2,100.854202,6.741891
41,40,2,27.248824,2.933263
42,40,2,57.763831,4.246557
43,40,2,51.994190,4.348919
44,40,2,24.604214,2.213363
45,40,2,52.734636,4.887601
46,40,2,37.455348,3.164655
47,40,2,30.644987,2.905550
48,40,2,52.016911,3.857492
49,40,2,100.185732,7.014538
0,5,2,0.001172,0.646702
1,5,2,0.002183,0.000193
2,5,2,0.000166,0.000142
3,5,2,0.000156,0.000105
4,5,2,0.000172,0.000115
5,5,2,0.000167,0.000184
6,5,2,0.000139,0.000127
7,5,2,0.000128,0.000213
8,5,2,0.000176,0.000155
9,5,2,0.000173,0.000122
10,10,2,0.000433,0.000272
11,10,2,0.672914,0.000426
12,10,2,0.000611,0.000524
13,10,2,0.003816,0.000667
14,10,2,0.000929,0.000609
15,10,2,0.000995,0.000506
16,10,2,0.000821,0.000405
17,10,2,0.000822,0.000572
18,10,2,0.000788,0.000773
19,10,2,0.000447,0.000283
20,20,2,0.025189,0.003369
21,20,2,0.033149,0.006081
22,20,2,0.010700,0.002235
23,20,2,0.057101,0.005643
24,20,2,0.034355,0.004138
25,20,2,0.023900,0.004061
26,20,2,0.025004,0.003996
27,20,2,0.031029,0.005024
28,20,2,0.045141,0.007903
29,20,2,0.038534,0.004468
30,30,2,1.828148,0.126928
31,30,2,1.870197,0.240579
32,30,2,0.865269,0.080313
33,30,2,1.696509,0.137290
34,30,2,1.131487,0.115058
35,30,2,1.323059,0.115767
36,30,2,1.114682,0.106808
37,30,2,1.494997,0.147325
38,30,2,1.224993,0.126967
39,30,2,2.223126,0.186180
40,40,2,101.030681,7.615274
41,40,2,26.540668,2.986850
42,40,2,57.763599,4.302975
43,40,2,52.813745,4.354744
44,40,2,24.602892,2.188299
45,40,2,52.767606,4.881618
46,40,2,37.506039,3.139967
47,40,2,30.714874,2.855979
48,40,2,52.200749,3.913000
49,40,2,100.621440,7.495079
0,5,3,0.000533,0.000834
1,5,3,0.000180,0.000176
2,5,3,0.000146,0.000485
3,5,3,0.000134,0.000252
4,5,3,0.000186,0.000288
5,5,3,0.000144,0.004477
6,5,3,0.000205,0.000171
7,5,3,0.000296,0.000881
8,5,3,0.000205,0.000191
9,5,3,0.000728,0.000235
10,10,3,0.668996,0.000389
11,10,3,0.000946,0.000517
12,10,3,0.001406,0.000602
13,10,3,0.000682,0.000291
14,10,3,0.000620,0.000429
15,10,3,0.002358,0.000448
16,10,3,0.000496,0.000324
17,10,3,0.000508,0.000581
18,10,3,0.000703,0.000425
19,10,3,0.000398,0.000232
20,20,3,0.017158,0.002513
21,20,3,0.025504,0.004086
22,20,3,0.007075,0.001558
23,20,3,0.034783,0.005085
24,20,3,0.024152,0.002921
25,20,3,0.016266,0.002859
26,20,3,0.016083,0.002422
27,20,3,0.025915,0.004127
28,20,3,0.032201,0.006598
29,20,3,0.025379,0.003961
30,30,3,1.315475,0.099565
31,30,3,1.298437,0.188898
32,30,3,0.634121,0.058026
33,30,3,1.295329,0.105291
34,30,3,0.994717,0.088791
35,30,3,0.957578,0.089407
36,30,3,0.822912,0.081948
37,30,3,1.020385,0.129866
38,30,3,1.037714,0.105635
39,30,3,2.004934,0.152917
40,40,3,75.997985,5.228621
41,40,3,19.798235,2.419121
42,40,3,40.420669,3.176041
43,40,3,37.832831,3.938672
44,40,3,20.857935,1.758648
45,40,3,39.933811,4.072793
46,40,3,29.522373,2.621500
47,40,3,21.350606,2.416316
48,40,3,35.960607,2.871063
49,40,3,85.742351,6.765596
0,5,3,0.000679,0.001718
1,5,3,0.000562,0.000743
2,5,3,0.000788,0.001378
3,5,3,0.000392,0.000892
4,5,3,0.001485,0.000984
5,5,3,0.000656,0.003125
6,5,3,0.001106,0.000987
7,5,3,0.000555,0.000958
8,5,3,0.000184,0.001486
9,5,3,0.000505,0.000478
10,10,3,0.001485,0.001003
11,10,3,0.003808,0.000489
12,10,3,0.000805,0.000747
13,10,3,0.000681,0.001217
14,10,3,0.005501,0.000704
15,10,3,0.002045,0.000558
16,10,3,0.002714,0.000858
17,10,3,0.001614,0.000576
18,10,3,0.002564,0.000758
19,10,3,0.001691,0.000372
20,20,3,0.627316,0.002721
21,20,3,0.026554,0.004745
22,20,3,0.009458,0.001891
23,20,3,0.036775,0.006178
24,20,3,0.025162,0.003154
25,20,3,0.016997,0.002705
26,20,3,0.015989,0.002667
27,20,3,0.024738,0.003973
28,20,3,0.029512,0.005846
29,20,3,0.023241,0.003985
30,30,3,1.308407,0.098737
31,30,3,1.298866,0.190814
32,30,3,0.630138,0.065055
33,30,3,1.299271,0.107111
34,30,3,0.983393,0.088177
35,30,3,0.963244,0.092536
36,30,3,0.822397,0.082337
37,30,3,1.030392,0.127933
38,30,3,1.039039,0.116307
39,30,3,2.021826,0.165228
40,40,3,76.123093,5.867973
41,40,3,19.329740,2.483651
42,40,3,40.395605,3.256679
43,40,3,37.894487,3.912563
44,40,3,20.568936,1.755572
45,40,3,39.977808,3.998588
46,40,3,29.507836,2.663423
47,40,3,21.187232,2.394192
48,40,3,36.049526,2.838912
49,40,3,85.514940,7.589853
0,5,3,0.000521,0.000904
1,5,3,0.000216,0.002595
2,5,3,0.000167,0.000131
3,5,3,0.000136,0.000158
4,5,3,0.000159,0.000186
5,5,3,0.000235,0.000840
6,5,3,0.005238,0.000251
7,5,3,0.000299,0.001013
8,5,3,0.000185,0.002495
9,5,3,0.000148,0.000175
10,10,3,0.000433,0.000283
11,10,3,0.001363,0.000435
12,10,3,0.001031,0.000909
13,10,3,0.000951,0.000576
14,10,3,0.000726,0.000902
15,10,3,0.001526,0.000831
16,10,3,0.000774,0.000416
17,10,3,0.000502,0.000375
18,10,3,0.000709,0.000308
19,10,3,0.000373,0.000295
20,20,3,0.018571,0.002493
21,20,3,0.026479,0.005166
22,20,3,0.007326,0.001583
23,20,3,0.034414,0.005176
24,20,3,0.023336,0.002968
25,20,3,0.015866,0.003052
26,20,3,0.015092,0.002788
27,20,3,0.023205,0.003811
28,20,3,0.029391,0.005916
29,20,3,0.023566,0.003746
30,30,3,1.288409,0.099121
31,30,3,1.380526,0.175121
32,30,3,0.630082,0.058626
33,30,3,1.304905,0.107007
34,30,3,0.991000,0.084772
35,30,3,0.963606,0.091158
36,30,3,0.827039,0.089173
37,30,3,1.030016,0.118474
38,30,3,1.042558,0.109487
39,30,3,1.991976,0.160921
40,40,3,76.226956,5.828826
41,40,3,19.397558,2.451600
42,40,3,40.632372,3.140326
43,40,3,37.522614,3.958715
44,40,3,20.757124,1.789835
45,40,3,40.145190,4.066798
46,40,3,29.315159,2.625077
47,40,3,21.333385,2.174743
48,40,3,36.049850,2.957725
49,40,3,85.500370,6.858982
0,5,3,0.002702,0.001799
1,5,3,0.000715,0.001324
2,5,3,0.000267,0.001352
3,5,3,0.000627,0.000874
4,5,3,0.000483,0.003587
5,5,3,0.002575,0.001649
6,5,3,0.000451,0.002858
7,5,3,0.000343,0.001064
8,5,3,0.000557,0.000999
9,5,3,0.000592,0.000831
10,10,3,0.000799,0.001246
11,10,3,0.003744,0.001008
12,10,3,0.651748,0.000436
13,10,3,0.000756,0.000290
14,10,3,0.000635,0.000370
15,10,3,0.000605,0.000401
16,10,3,0.000810,0.000298
17,10,3,0.000474,0.000356
18,10,3,0.000664,0.000340
19,10,3,0.000359,0.000384
20,20,3,0.017667,0.002503
21,20,3,0.025887,0.004421
22,20,3,0.007334,0.001692
23,20,3,0.037206,0.004999
24,20,3,0.024760,0.003314
25,20,3,0.018241,0.002886
26,20,3,0.016687,0.003028
27,20,3,0.028362,0.004338
28,20,3,0.032454,0.006779
29,20,3,0.027259,0.004403
30,30,3,1.297423,0.099213
31,30,3,1.299886,0.193167
32,30,3,0.638116,0.059723
33,30,3,1.304115,0.109419
34,30,3,0.987177,0.085895
35,30,3,0.954001,0.092366
36,30,3,0.825893,0.090017
37,30,3,1.026651,0.127348
38,30,3,1.009591,0.105930
39,30,3,2.040190,0.147720
40,40,3,76.240780,5.786950
41,40,3,19.508996,2.573126
42,40,3,40.476048,3.205479
43,40,3,37.463879,3.985860
44,40,3,20.603577,1.769289
45,40,3,39.952600,4.077507
46,40,3,29.265579,2.756118
47,40,3,21.482193,2.357912
48,40,3,36.063734,2.846687
49,40,3,86.833676,6.782508
0,5,3,0.001162,0.000685
1,5,3,0.000352,0.000862
2,5,3,0.000852,0.000853
3,5,3,0.000353,0.001694
4,5,3,0.002984,0.004295
5,5,3,0.002497,0.002267
6,5,3,0.000693,0.005934
7,5,3,0.001272,0.007672
8,5,3,0.000708,0.005337
9,5,3,0.000626,0.002006
10,10,3,0.001257,0.004084
11,10,3,0.394438,0.002634
12,10,3,0.001618,0.000546
13,10,3,0.001904,0.000433
14,10,3,0.002636,0.000554
15,10,3,0.004076,0.001738
16,10,3,0.001591,0.002721
17,10,3,0.002649,0.002229
18,10,3,0.003348,0.000957
19,10,3,0.001037,0.000606
20,20,3,0.679153,0.003100
21,20,3,0.026702,0.004351
22,20,3,0.007626,0.001678
23,20,3,0.038118,0.005534
24,20,3,0.025282,0.003212
25,20,3,0.016331,0.002512
26,20,3,0.015078,0.002561
27,20,3,0.025289,0.004003
28,20,3,0.030532,0.006075
29,20,3,0.026257,0.004315
30,30,3,1.319722,0.100555
31,30,3,1.319430,0.188120
32,30,3,0.645659,0.061091
