"gameNumber","dimension","nThreads","initTime","resolutionTime"
46,40,4,26.009624,2.419164
47,40,4,16.517890,2.048205
48,40,4,27.941444,2.579880
49,40,4,77.962377,6.497494
0,5,4,0.001003,0.000479
1,5,4,0.000221,0.000372
2,5,4,0.000659,0.000886
3,5,4,0.000176,0.000859
4,5,4,0.000199,0.001027
5,5,4,0.000762,0.001111
6,5,4,0.000865,0.001263
7,5,4,0.001029,0.002508
8,5,4,0.001572,0.001754
9,5,4,0.000391,0.000963
10,10,4,0.001094,0.001114
11,10,4,0.381085,0.003903
12,10,4,0.001844,0.000886
13,10,4,0.003177,0.001029
14,10,4,0.002001,0.000619
15,10,4,0.005006,0.000514
16,10,4,0.001069,0.000490
17,10,4,0.001515,0.000674
18,10,4,0.001305,0.000953
19,10,4,0.000914,0.000395
20,20,4,0.543557,0.002349
21,20,4,0.024254,0.004652
22,20,4,0.008735,0.002361
23,20,4,0.041701,0.005105
24,20,4,0.022054,0.003304
25,20,4,0.014667,0.002360
26,20,4,0.012653,0.002000
27,20,4,0.021846,0.003000
28,20,4,0.025729,0.004793
29,20,4,0.023675,0.004496
30,30,4,1.049918,0.095857
31,30,4,1.091616,0.163502
32,30,4,0.605673,0.052899
33,30,4,1.149239,0.100157
34,30,4,0.951990,0.081252
35,30,4,0.823870,0.080019
36,30,4,0.690651,0.073137
37,30,4,0.827818,0.110448
38,30,4,0.995558,0.097688
39,30,4,1.941501,0.138086
40,40,4,58.979855,4.687054
41,40,4,16.182392,2.356029
42,40,4,33.136595,2.440462
43,40,4,29.725295,4.048639
44,40,4,18.639446,1.647772
45,40,4,32.624794,3.556638
46,40,4,25.620233,2.283289
47,40,4,16.595345,2.050951
48,40,4,27.818453,2.662967
49,40,4,77.531426,6.707866
0,5,4,0.000440,0.000267
1,5,4,0.000167,0.000196
2,5,4,0.000154,0.000188
3,5,4,0.000199,0.000150
4,5,4,0.000148,0.000164
5,5,4,0.000161,0.000190
6,5,4,0.000173,0.000193
7,5,4,0.000682,0.000221
8,5,4,0.000173,0.000140
9,5,4,0.000163,0.000195
10,10,4,0.690570,0.000379
11,10,4,0.206554,0.001630
12,10,4,0.304976,0.000509
13,10,4,0.001368,0.002126
14,10,4,0.000897,0.002480
15,10,4,0.002202,0.000493
16,10,4,0.000538,0.000405
17,10,4,0.000614,0.000384
18,10,4,0.000754,0.000390
19,10,4,0.000349,0.000235
20,20,4,0.016274,0.002219
21,20,4,0.023703,0.003960
22,20,4,0.006406,0.001313
23,20,4,0.050886,0.006083
24,20,4,0.021208,0.002581
25,20,4,0.013948,0.002352
26,20,4,0.011939,0.003462
27,20,4,0.023348,0.003305
28,20,4,0.025878,0.005415
29,20,4,0.024354,0.003600
30,30,4,1.092204,0.092536
31,30,4,1.081170,0.163325
32,30,4,0.586586,0.052511
33,30,4,1.151635,0.094817
34,30,4,0.981437,0.085518
35,30,4,0.810329,0.080212
36,30,4,0.696311,0.078983
37,30,4,0.847603,0.108280
38,30,4,1.017506,0.093020
39,30,4,1.756569,0.140043
40,40,4,59.172487,5.235035
41,40,4,16.068624,2.384085
42,40,4,33.670282,2.513295
43,40,4,30.096125,4.043654
44,40,4,18.477123,1.572185
45,40,4,33.126311,3.542277
46,40,4,25.855897,2.365490
47,40,4,16.521065,2.020127
48,40,4,27.731883,2.602162
49,40,4,78.056250,6.533659
0,5,4,0.000632,0.000511
1,5,4,0.000551,0.000809
2,5,4,0.000945,0.000842
3,5,4,0.000199,0.001468
4,5,4,0.001063,0.001085
5,5,4,0.001338,0.000354
6,5,4,0.000300,0.000885
7,5,4,0.000942,0.000396
8,5,4,0.000208,0.000739
9,5,4,0.000938,0.000997
10,10,4,0.216518,0.003962
11,10,4,0.001770,0.000696
12,10,4,0.342060,0.001131
13,10,4,0.002023,0.000962
14,10,4,0.002238,0.000996
15,10,4,0.001451,0.000661
16,10,4,0.001130,0.000732
17,10,4,0.003565,0.000572
18,10,4,0.001141,0.000514
19,10,4,0.000993,0.000426
20,20,4,0.573748,0.002456
21,20,4,0.025383,0.004715
22,20,4,0.007735,0.001860
23,20,4,0.032541,0.004653
24,20,4,0.022004,0.002586
25,20,4,0.015297,0.002188
26,20,4,0.011590,0.002308
27,20,4,0.024258,0.003487
28,20,4,0.026316,0.004973
29,20,4,0.024977,0.003537
30,30,4,1.115212,0.094082
31,30,4,1.123206,0.179613
32,30,4,0.599680,0.054502
33,30,4,1.134896,0.095770
34,30,4,0.983832,0.084021
35,30,4,0.816564,0.085884
36,30,4,0.684567,0.081815
37,30,4,0.846544,0.106112
38,30,4,1.074912,0.101898
39,30,4,1.748008,0.135636
40,40,4,58.691122,5.505998
41,40,4,15.832865,2.306112
42,40,4,33.444182,2.507022
43,40,4,29.992918,3.994563
44,40,4,18.246237,1.764333
45,40,4,32.763370,3.546503
46,40,4,25.856892,2.384421
47,40,4,16.606322,2.067159
48,40,4,27.662644,2.832753
49,40,4,78.077030,6.495104
0,5,4,0.001983,0.001508
1,5,4,0.000734,0.001294
2,5,4,0.000364,0.001049
3,5,4,0.000979,0.001699
4,5,4,0.000754,0.001471
5,5,4,0.000228,0.001652
6,5,4,0.000977,0.001027
7,5,4,0.000224,0.001070
8,5,4,0.000218,0.001412
9,5,4,0.000307,0.001166
10,10,4,0.198989,0.001152
11,10,4,0.335505,0.001356
12,10,4,0.010289,0.000485
13,10,4,0.001312,0.000792
14,10,4,0.001432,0.005842
15,10,4,0.000900,0.003001
16,10,4,0.003070,0.000823
17,10,4,0.001584,0.000930
18,10,4,0.001942,0.000544
19,10,4,0.000623,0.000428
20,20,4,0.541722,0.002753
21,20,4,0.022535,0.004109
22,20,4,0.006627,0.001480
23,20,4,0.034074,0.005309
24,20,4,0.021950,0.002793
25,20,4,0.016792,0.002206
26,20,4,0.012862,0.002204
27,20,4,0.022940,0.003131
28,20,4,0.026499,0.005315
29,20,4,0.023162,0.003765
30,30,4,1.099406,0.094085
31,30,4,1.117401,0.166649
32,30,4,0.606535,0.053533
33,30,4,1.158738,0.095233
34,30,4,1.002850,0.083721
35,30,4,0.811666,0.081047
36,30,4,0.698995,0.079699
37,30,4,0.838652,0.112277
38,30,4,1.025788,0.093292
39,30,4,1.805105,0.138451
40,40,4,59.027049,5.080461
41,40,4,16.276639,2.367867
42,40,4,33.240159,2.591493
43,40,4,29.916381,4.002572
44,40,4,18.674011,1.776189
45,40,4,32.825479,3.577463
46,40,4,25.861665,2.444014
47,40,4,16.700464,2.032202
48,40,4,27.752379,2.869067
49,40,4,78.387510,6.558820
0,5,4,0.001366,0.001509
1,5,4,0.000554,0.001196
2,5,4,0.002124,0.003073
3,5,4,0.002073,0.001297
4,5,4,0.003191,0.001056
5,5,4,0.001105,0.001150
6,5,4,0.000949,0.000782
7,5,4,0.003218,0.004354
8,5,4,0.001470,0.003199
9,5,4,0.002632,0.002855
10,10,4,0.226806,0.001671
11,10,4,0.003489,0.000518
12,10,4,0.529886,0.000543
13,10,4,0.285374,0.000451
14,10,4,0.001646,0.000736
15,10,4,0.001591,0.001011
16,10,4,0.000676,0.000426
17,10,4,0.000658,0.000346
18,10,4,0.000614,0.000340
19,10,4,0.000323,0.000249
20,20,4,0.015454,0.002040
21,20,4,0.024252,0.004078
22,20,4,0.006958,0.001340
23,20,4,0.036649,0.005732
24,20,4,0.021696,0.003029
25,20,4,0.015017,0.002631
26,20,4,0.011895,0.002039
27,20,4,0.023677,0.003139
28,20,4,0.026447,0.005164
29,20,4,0.023043,0.003659
30,30,4,1.093484,0.095553
31,30,4,1.120311,0.176461
32,30,4,0.601962,0.053275
33,30,4,1.156300,0.099022
34,30,4,0.971575,0.080630
35,30,4,0.806716,0.082542
36,30,4,0.694293,0.078723
37,30,4,0.847942,0.113814
38,30,4,1.074846,0.094319
39,30,4,1.803714,0.142459
40,40,4,59.314140,4.728761
41,40,4,16.359936,2.337222
42,40,4,33.543733,2.437826
43,40,4,29.938720,3.980505
44,40,4,18.247576,1.564043
45,40,4,32.821254,3.606536
46,40,4,25.745017,2.567202
47,40,4,16.368377,2.108098
48,40,4,27.859991,2.715437
49,40,4,77.982494,6.542238
0,5,4,0.001277,0.000992
1,5,4,0.000197,0.000962
2,5,4,0.000160,0.000942
3,5,4,0.001226,0.000820
4,5,4,0.000411,0.001737
5,5,4,0.001676,0.001004
6,5,4,0.001504,0.001355
7,5,4,0.000982,0.000482
8,5,4,0.000421,0.001789
9,5,4,0.000247,0.000876
10,10,4,0.547168,0.000334
11,10,4,0.380661,0.000401
12,10,4,0.001068,0.001062
13,10,4,0.001137,0.000423
14,10,4,0.001649,0.000549
15,10,4,0.004197,0.000995
16,10,4,0.000696,0.000347
17,10,4,0.000587,0.000416
18,10,4,0.000496,0.000612
19,10,4,0.000369,0.000292
20,20,4,0.015489,0.001993
21,20,4,0.024196,0.005026
22,20,4,0.011733,0.002707
23,20,4,0.041353,0.004853
24,20,4,0.021364,0.002686
25,20,4,0.014024,0.002403
26,20,4,0.012740,0.002293
27,20,4,0.022381,0.003145
28,20,4,0.026478,0.005000
29,20,4,0.027412,0.003827
30,30,4,1.078179,0.095669
31,30,4,1.105169,0.176840
32,30,4,0.613036,0.052283
33,30,4,1.137383,0.098929
34,30,4,0.977910,0.089151
35,30,4,0.825473,0.083675
36,30,4,0.687935,0.080265
37,30,4,0.840628,0.115575
38,30,4,1.038111,0.096632
39,30,4,1.820394,0.137970
40,40,4,59.371995,5.348674
41,40,4,16.246404,2.357226
42,40,4,33.469832,2.327280
43,40,4,30.122942,3.711625
44,40,4,18.744290,1.672797
45,40,4,32.865933,3.544865
46,40,4,25.757562,2.339987
47,40,4,16.406028,2.035582
48,40,4,27.975781,2.538522
49,40,4,78.417898,6.179887
0,5,4,0.000594,0.000432
1,5,4,0.000185,0.000503
2,5,4,0.000886,0.000325
3,5,4,0.000155,0.000326
4,5,4,0.000373,0.000338
5,5,4,0.000915,0.000605
6,5,4,0.000714,0.000928
7,5,4,0.000402,0.001180
8,5,4,0.000252,0.001099
9,5,4,0.001665,0.001357
10,10,4,0.309483,0.000480
11,10,4,0.598282,0.000660
12,10,4,0.219284,0.001077
13,10,4,0.003462,0.000369
14,10,4,0.001962,0.000538
15,10,4,0.002369,0.000497
16,10,4,0.000785,0.000447
17,10,4,0.000517,0.001436
18,10,4,0.000565,0.000437
19,10,4,0.000314,0.000229
20,20,4,0.014690,0.002157
21,20,4,0.023585,0.003849
22,20,4,0.006923,0.001731
23,20,4,0.033979,0.005093
24,20,4,0.021993,0.002664
25,20,4,0.014156,0.002150
26,20,4,0.012876,0.002277
27,20,4,0.022772,0.003086
28,20,4,0.027814,0.005149
29,20,4,0.022363,0.003434
30,30,4,1.075654,0.094846
31,30,4,1.125456,0.175677
32,30,4,0.605879,0.053653
33,30,4,1.149524,0.097182
34,30,4,0.985639,0.083019
35,30,4,0.807149,0.081753
36,30,4,0.682310,0.081638
37,30,4,0.857011,0.108937
38,30,4,1.019539,0.098505
39,30,4,1.811074,0.130895
40,40,4,59.337409,4.698712
41,40,4,16.407933,2.292296
42,40,4,33.403569,2.495352
43,40,4,30.252451,3.963470
44,40,4,18.216274,1.790637
45,40,4,32.857477,3.565218
46,40,4,25.698088,2.496930
47,40,4,16.437358,2.043985
48,40,4,28.108637,2.658743
49,40,4,78.118658,6.475941
0,5,4,0.001037,0.001140
1,5,4,0.000278,0.000635
2,5,4,0.000257,0.000315
3,5,4,0.001069,0.000485
4,5,4,0.000522,0.001122
5,5,4,0.000541,0.001453
6,5,4,0.000276,0.000968
7,5,4,0.000789,0.001169
8,5,4,0.000696,0.001551
9,5,4,0.001171,0.001148
10,10,4,0.308616,0.001234
11,10,4,0.209965,0.000931
12,10,4,0.003658,0.001101
13,10,4,0.001992,0.001439
14,10,4,0.002497,0.001053
15,10,4,0.003092,0.001485
16,10,4,0.001972,0.000600
17,10,4,0.003528,0.000565
18,10,4,0.000890,0.000432
19,10,4,0.000964,0.000407
20,20,4,0.540300,0.002483
21,20,4,0.024749,0.004076
22,20,4,0.006030,0.001973
23,20,4,0.037666,0.005191
24,20,4,0.021662,0.004494
25,20,4,0.016886,0.002566
26,20,4,0.012231,0.002038
27,20,4,0.022993,0.003178
28,20,4,0.027196,0.004942
29,20,4,0.023460,0.003437
30,30,4,1.092408,0.099731
31,30,4,1.132145,0.167251
32,30,4,0.601458,0.053152
33,30,4,1.154515,0.100416
34,30,4,0.991574,0.085876
35,30,4,0.814888,0.083898
36,30,4,0.688050,0.082034
37,30,4,0.839115,0.116606
38,30,4,1.043705,0.095903
39,30,4,1.743675,0.142753
40,40,4,59.340075,5.506323
41,40,4,16.079986,2.366157
42,40,4,33.385587,2.582319
43,40,4,29.926595,3.916202
44,40,4,18.750845,1.792494
45,40,4,32.944774,3.558114
46,40,4,25.822988,2.252973
47,40,4,16.516904,2.024310
48,40,4,28.014371,2.690137
49,40,4,77.863887,6.537464
0,5,4,0.000346,0.000398
1,5,4,0.000187,0.000198
2,5,4,0.000221,0.000161
3,5,4,0.000152,0.000709
4,5,4,0.000314,0.000268
5,5,4,0.000200,0.000286
6,5,4,0.000159,0.001515
7,5,4,0.000397,0.001460
8,5,4,0.000210,0.000594
9,5,4,0.000297,0.000193
10,10,4,0.001751,0.000419
11,10,4,0.380709,0.000684
12,10,4,0.000473,0.000339
13,10,4,0.002173,0.000352
14,10,4,0.741308,0.001466
15,10,4,0.001315,0.000491
16,10,4,0.001381,0.000946
17,10,4,0.004186,0.000534
18,10,4,0.000606,0.000331
19,10,4,0.000302,0.000247
20,20,4,0.016279,0.002042
21,20,4,0.023280,0.004004
22,20,4,0.006654,0.001624
23,20,4,0.034445,0.004608
24,20,4,0.021687,0.002857
25,20,4,0.014157,0.002221
26,20,4,0.012758,0.002057
27,20,4,0.022699,0.003306
28,20,4,0.028257,0.005002
29,20,4,0.023181,0.003710
30,30,4,1.108777,0.095123
31,30,4,1.087453,0.178618
32,30,4,0.611911,0.053973
33,30,4,1.147264,0.096178
34,30,4,0.991058,0.086455
35,30,4,0.823038,0.083852
36,30,4,0.687310,0.082954
37,30,4,0.832198,0.109873
38,30,4,1.058898,0.104646
39,30,4,1.757102,0.140436
40,40,4,58.950067,5.579747
41,40,4,15.901891,2.387650
42,40,4,33.453393,2.441651
43,40,4,29.979343,3.944348
44,40,4,18.322421,1.627791
45,40,4,32.927281,3.561254
46,40,4,26.266206,2.357281
47,40,4,16.457811,2.123781
48,40,4,28.203803,2.725417
49,40,4,77.916971,6.622004
